id number_of_teachers class_code
1 5 AP49
2 5 AP49
3 5 AP49
4 5 AP49
5 5 AP49
6 5 AP49
7 5 AP49
8 5 AP49
9 5 AP49
10 5 AP49
11 5 AP49
12 5 AP49
13 5 AP49
14 5 AP49
15 5 AP49
16 5 AP49
17 5 AP49
18 5 AP49
19 5 AP49
20 5 AP49
21 5 AP49
22 5 AP49
23 5 AP49
24 5 AP49
25 5 AP49
26 5 AP49
27 5 AP49
28 5 AP49
29 5 AP49
30 5 AP49
31 5 AP49
32 5 AP49
33 5 AP49
34 5 AP49
35 5 AP49
36 5 AP49
37 5 AP49
38 5 AP49
39 5 AP49
40 5 AP49
41 5 AP49
42 5 AP49
43 5 AP49
44 5 AP49
45 5 AP49
46 5 AP49
47 5 AP49
48 5 AP49
49 5 AP49
50 5 AP49
51 5 AP49
52 5 AP49
53 5 AP49
54 5 AP49
55 5 AP49
56 5 AP49
57 5 AP49
58 5 AP49
59 5 AP49
60 5 AP49
61 5 AP49
62 5 AP49
63 5 AP49
64 5 AP49
65 5 AP49
66 5 AP49
67 5 AP49
68 5 AP49
69 5 AP49
70 5 AP49
71 5 AP49
72 5 AP49
73 5 AP49
74 5 AP49
75 5 AP49
76 5 AP49
77 5 AP49
78 5 AP49
79 5 AP49
80 5 AP49
81 5 AP49
82 5 AP49
83 5 AP49
84 5 AP49
85 5 AP49
86 5 AP49
87 5 AP49
88 5 AP49
89 5 AP49
90 5 AP49
91 5 AP49
92 5 AP49
93 5 AP49
94 5 AP49
95 5 AP49
96 5 AP49
97 5 AP49
98 5 AP49
99 5 AP49
100 5 AP49
101 5 AP49
102 5 AP49
103 5 AP49
104 5 AP49
105 5 AP49
106 5 AP49
107 5 AP49
108 5 AP49
109 5 AP49
110 5 AP49
111 5 AP49
112 5 AP49
113 5 AP49
114 5 AP49
115 5 AP49
116 5 AP49
117 5 AP49
118 5 AP49
119 5 AP49
120 5 AP49
121 5 AP49
122 5 AP49
123 5 AP49
124 5 AP49
125 5 AP49
126 5 AP49
127 5 AP49
128 5 AP49
129 5 AP49
130 5 AP49
131 5 AP49
132 5 AP49
133 5 AP49
134 5 AP49
135 5 AP49
136 5 AP49
137 5 AP49
138 5 AP49
139 5 AP49
140 5 AP49
141 5 AP49
142 5 AP49
143 5 AP49
144 5 AP49
145 5 AP49
146 5 AP49
147 5 AP49
148 5 AP49
149 5 AP49
150 5 AP49
151 5 AP49
152 5 AP49
153 5 AP49
154 5 AP49
155 5 AP49
156 5 AP49
157 5 AP49
158 5 AP49
159 5 AP49
160 5 AP49
161 5 AP49
162 5 AP49
163 5 AP49
164 5 AP49
165 5 AP49
166 5 AP49
167 5 AP49
168 5 AP49
169 5 AP49
170 5 AP49
171 5 AP49
172 5 AP49
173 5 AP49
174 5 AP49
175 5 AP49
176 5 AP49
177 5 AP49
178 5 AP49
179 5 AP49
180 5 AP49
181 5 AP49
182 5 AP49
183 5 AP49
184 5 AP49
185 5 AP49
186 5 AP49
187 5 AP49
188 5 AP49
189 5 AP49
190 5 AP49
191 5 AP49
192 5 AP49
193 5 AP49
194 5 AP49
195 5 AP49
196 5 AP49
197 5 AP49
198 5 AP49
199 5 AP49
200 5 AP49
201 5 AP49
202 5 AP49
203 5 AP49
204 5 AP49
205 5 AP49
206 5 AP49
207 5 AP49
208 5 AP49
209 5 AP49
210 5 AP49
211 5 AP49
212 5 AP49
213 5 AP49
214 5 AP49
215 5 AP49
216 5 AP49
217 5 AP49
218 5 AP49
219 5 AP49
220 5 AP49
221 5 AP49
222 5 AP49
223 5 AP49
224 5 AP49
225 5 AP49
226 5 AP49
227 5 AP49
228 5 AP49
229 5 AP49
230 5 AP49
231 5 AP49
232 5 AP49
233 5 AP49
234 5 AP49
235 5 AP49
236 5 AP49
237 5 AP49
238 5 AP49
239 5 AP49
240 5 AP49
241 5 AP49
242 5 AP49
243 5 AP49
244 5 AP49
245 5 AP49
246 5 AP49
247 5 AP49
248 5 AP49
249 5 AP49
250 5 AP49
251 5 AP49
252 5 AP49
253 5 AP49
254 5 AP49
255 5 AP49
256 5 AP49
257 5 AP49
258 5 AP49
259 5 AP49
260 5 AP49
261 5 AP49
262 5 AP49
263 5 AP49
264 5 AP49
265 5 AP49
266 5 AP49
267 5 AP49
268 5 AP49
269 5 AP49
270 5 AP49
271 5 AP49
272 5 AP49
273 5 AP49
274 5 AP49
275 5 AP49
276 5 AP49
277 5 AP49
278 5 AP49
279 5 AP49
280 5 AP49
281 5 AP49
282 5 AP49
283 5 AP49
284 5 AP49
285 5 AP49
286 5 AP49
287 5 AP49
288 5 AP49
289 5 AP49
290 5 AP49
291 5 AP49
292 5 AP49
293 5 AP49
294 5 AP49
295 5 AP49
296 5 AP49
297 5 AP49
298 5 AP49
299 5 AP49
300 5 AP49
301 5 AP49
302 5 AP49
303 5 AP49
304 5 AP49
305 5 AP49
306 5 AP49
307 5 AP49
308 5 AP49
309 5 AP49
310 5 AP49
311 5 AP49
312 5 AP49
313 5 AP49
314 5 AP49
315 5 AP49
316 5 AP49
317 5 AP49
318 5 AP49
319 5 AP49
320 5 AP49
321 5 AP49
322 5 AP49
323 5 AP49
324 5 AP49
325 5 AP49
326 5 AP49
327 5 AP49
328 5 AP49
329 5 AP49
330 5 AP49
331 5 AP49
332 5 AP49
333 5 AP49
334 5 AP49
335 5 AP49
336 5 AP49
337 5 AP49
338 5 AP49
339 5 AP49
340 5 AP49
341 5 AP49
342 5 AP49
343 5 AP49
344 5 AP49
345 5 AP49
346 5 AP49
347 5 AP49
348 5 AP49
349 5 AP49
350 5 AP49
351 5 AP49
352 5 AP49
353 5 AP49
354 5 AP49
355 5 AP49
356 5 AP49
357 5 AP49
358 5 AP49
359 5 AP49
360 5 AP49
361 5 AP49
362 5 AP49
363 5 AP49
364 5 AP49
365 5 AP49
366 5 AP49
367 5 AP49
368 5 AP49
369 5 AP49
370 5 AP49
371 5 AP49
372 5 AP49
373 5 AP49
374 5 AP49
375 5 AP49
376 5 AP49
377 5 AP49
378 5 AP49
379 5 AP49
380 5 AP49
381 5 AP49
382 5 AP49
383 5 AP49
384 5 AP49
385 5 AP49
386 5 AP49
387 5 AP49
388 5 AP49
389 5 AP49
390 5 AP49
391 5 AP49
392 5 AP49
393 5 AP49
394 5 AP49
395 5 AP49
396 5 AP49
397 5 AP49
398 5 AP49
399 5 AP49
400 5 AP49
401 5 AP49
402 5 AP49
403 5 AP49
404 5 AP49
405 5 AP49
406 5 AP49
407 5 AP49
408 5 AP49
409 5 AP49
410 5 AP49
411 5 AP49
412 5 AP49
413 5 AP49
414 5 AP49
415 5 AP49
416 5 AP49
417 5 AP49
418 5 AP49
419 5 AP49
420 5 AP49
421 5 AP49
422 5 AP49
423 5 AP49
424 5 AP49
425 5 AP49
426 5 AP49
427 5 AP49
428 5 AP49
429 5 AP49
430 5 AP49
431 5 AP49
432 5 AP49
433 5 AP49
434 5 AP49
435 5 AP49
436 5 AP49
437 5 AP49
438 5 AP49
439 5 AP49
440 5 AP49
441 5 AP49
442 5 AP49
443 5 AP49
444 5 AP49
445 5 AP49
446 5 AP49
447 5 AP49
448 5 AP49
449 5 AP49
450 5 AP49
451 5 AP49
452 5 AP49
453 5 AP49
454 5 AP49
455 5 AP49
456 5 AP49
457 5 AP49
458 5 AP49
459 5 AP49
460 5 AP49
461 5 AP49
462 5 AP49
463 5 AP49
464 5 AP49
465 5 AP49
